frame_id,target_id,class_name,x1,y1,x2,y2,bbox_height_px,depth_score,distance_m
24,199,car,668.53,477.46,699.78,524.06,46.6,0.2031,23.32
25,200,car,0.82,533.14,243.99,766.7,233.56,0.6297,19.18
25,201,car,894.21,468.75,998.01,554.68,85.93,0.2669,13.94
25,202,car,194.32,489.38,393.45,619.0,129.63,0.3879,8.57
25,203,car,1037.62,470.81,1128.37,537.51,66.69,0.2646,12.73
25,204,car,1518.25,434.68,1600.0,484.56,49.88,0.2687,15.87
25,205,car,1381.35,451.01,1464.64,498.63,47.62,0.3017,20.85
25,206,car,758.91,470.19,794.17,498.1,27.91,0.1698,28.97
25,207,car,990.07,466.45,1032.04,520.49,54.04,0.2389,28.45
25,208,car,692.07,472.78,728.42,516.16,43.38,0.1943,29.46
25,209,car,977.67,466.87,1017.45,515.09,48.22,0.2327,23.54
25,210,car,985.63,466.37,1022.82,518.8,52.43,0.2356,23.76
25,211,car,865.28,473.33,894.75,497.92,24.59,0.1804,30.52
25,212,car,1481.24,450.67,1528.43,485.34,34.67,0.2681,33.47
26,213,car,891.68,469.56,988.48,546.52,76.96,0.2307,31.19
26,214,car,55.9,494.02,343.83,644.25,150.23,0.4246,18.04
26,215,car,1056.49,470.47,1147.48,542.44,71.97,0.2466,12.49
26,216,car,0.05,535.48,71.09,683.08,147.6,0.4991,9.97
26,217,car,992.31,466.94,1031.11,518.25,51.32,0.2046,14.98
26,218,car,759.36,470.26,791.15,498.26,28.0,0.1477,23.53
26,219,car,864.57,474.33,895.49,499.06,24.73,0.1581,36.69
27,220,car,889.94,474.53,977.71,546.14,71.6,0.2121,34.58
27,221,car,1071.6,477.03,1175.39,553.07,76.04,0.2553,25.75
27,222,car,0.0,498.62,279.38,663.55,164.93,0.4199,12.39
27,223,car,674.37,479.32,718.83,525.78,46.46,0.1838,15.31
27,224,car,752.42,477.74,789.59,504.42,26.68,0.1531,24.8
27,225,car,1026.65,471.31,1078.0,537.76,66.45,0.2197,28.32
27,226,car,1454.47,447.61,1555.51,504.35,56.74,0.2714,26.68
27,227,car,727.35,484.07,762.24,510.12,26.05,0.162,26.99
27,228,car,863.19,477.27,893.12,502.14,24.87,0.1543,36.76
27,229,car,639.14,487.19,673.2,537.61,50.42,0.205,37.72
27,230,car,994.17,471.48,1038.42,521.48,50.0,0.1944,30.6
28,231,car,1088.79,477.89,1211.51,561.02,83.14,0.2515,19.65
28,232,car,0.29,503.93,168.65,677.7,173.77,0.4536,14.16
